S No,Title,Author,Stars,Ratings Count,Pages,Publish Date,Publisher,Language
83,A Kiss of Shadow,Linsey Hall,4.39,888,NA,"June 17, 2022",Bonnie Doon Press,English
84,Of Rain and Wrath,Katie May,4.21,850,307,"May 6, 2022",NA,English
85,Sorrow's Song,Keri Arthur,4.60,806,309,"June 28, 2022",KA Publishing PTY LTD,English
86,Portal to Nova Roma: Venice,J.R.  Mathews,4.60,771,628,"June 24, 2022",NA,English
87,The Vampire's Sunny Sweetheart,Kristen Painter,4.62,581,304,"June 13, 2022",NA,English
88,Exile,B.K. Greenwood,4.18,499,266,"June 15, 2021",Bat City Press,English
89,Mirror Obscure,Elizabeth   Hunter,4.56,518,278,"June 21, 2022","Recurve Press, LLC",English
90,Darktown Funk,Eric Ugland,4.57,464,395,"July 1, 2022","Air Quotes Publishing, Inc",English
91,The Martyr,Anthony Ryan,4.58,454,528,NA,Orbit,English
92,Saga #60,Brian K. Vaughan,4.51,422,31,"July 6, 2022",Image Comics,English
93,Shadow Kissed,Veronica Douglas,4.39,406,NA,"June 30, 2022",NA,English
94,Real Alphas Mate,C.R. Jane,4.37,305,282,"June 30, 2022",Amazon Digital Services,English
95,Demon Gambit,Debbie  Cassidy,4.66,312,313,"June 30, 2022",Independently Published,English
96,Queen Me,Amber Lynn Natusch,4.38,292,NA,"June 30, 2022",NA,English
97,Embers on the Wind,Lisa Williamson Rosenberg,4.05,242,210,"Augu, 1, 2022",NA,English
98,Spells and Slip-ups,Annie Anderson,4.45,185,NA,"July 5, 2022",Annie Anderson,NA
99,Brute of All Evil,Devon Monk,4.57,172,323,"June 27, 2022",NA,English
100,"異世界に救世主として喚ばれましたが、アラサーには無理なので、ひっそりブックカフェ始めました。 3 [Isekai ni Kyuuseishu to shite Yobaremashita ga, Around 30 ni wa Muri na no de, hissori Book Café Hajimemashita. 3]",Kyouka Izumi,4.35,157,160,"May 19, 2021",小学館,Japanese
